reference_hotel_id,reference_room_id,reference_room_name,reference_processed_name,supplier_room_id,supplier_room_name,supplier_processed_name,text_similarity
13692119,1142117217,"Standard Quadruple Room, Ensuite (1 Bedroom / #4)",standard quadruple room ensuite 1 bedroom 4,201260592,"Quadruple Room, 1 Bedroom, Ensuite",quadruple room 1 bedroom ensuite,0.96
13945078,1143626209,"Shared Dormitory, Mixed Dorm, Garden View",shared dormitory mixed dormitory garden view,200902792,"Traditional Shared Dormitory, Mixed Dorm, Garden View",traditional shared dormitory mixed dormitory garden view,0.98
13899358,1143527296,"Exclusive Single Room, Non Smoking",exclusive single room non smoking,219017901,"Single Room, Non Smoking",single room non smoking,0.96
13668331,1142920190,"Family Quadruple Room, 2 Bedrooms, Courtyard View",family quadruple room 2 bedroom courtyard view,218154284,"Family Quadruple Room, 2 Bedrooms, Ensuite, Courtyard View",family quadruple room 2 bedroom ensuite courtyard view,0.97
13675691,1142078968,"Deluxe Double Room, Courtyard Area",deluxe double room courtyard area,201043067,"Deluxe Double Room, Courtyard View",deluxe double room courtyard view,0.97
13831256,1143426286,"Suite, 1 King Bed, Garden View",suite 1 king bed garden view,316102637,"Standard Suite, 1 King Bed, Garden View",standard suite 1 king bed garden view,0.96
13942621,1143613748,"Comfort Twin Room, Shared Bathroom",comfort twin room shared bathroom,201437644,"Comfort Double or Twin Room, Shared Bathroom",comfort double twin room shared bathroom,0.97
13716372,1142408365,Room (Deluxe Double),room deluxe double,314898076,Deluxe Double Room,deluxe double room,0.96
13894305,1143526749,"Apartment, 1 Bedroom, Balcony, City View",apartment 1 bedroom balcony city view,201707884,"City Apartment, 1 Bedroom, Balcony",city apartment 1 bedroom balcony,0.97
13556542,1142807295,"Superior Single Room, 1 King Bed",superior single room 1 king bed,201425586,"Superior Room, 1 King Bed",superior room 1 king bed,0.96
13941459,1143587825,"Shared Dormitory, Mix Dorm, 4 Beds",shared dormitory mix dormitory 4 bed,217872527,"Shared Dormitory, Mixed Dorm (4 beds)",shared dormitory mixed dormitory 4 bed,0.98
13829511,1143419384,"Deluxe Double Room, 2 Bedrooms, Private Bathroom, Valley View",deluxe double room 2 bedroom private bathroom valley view,200904316,"Deluxe Double Room, 1 Double Bed, Private Bathroom, Valley View",deluxe double room 1 double bed private bathroom valley view,0.86
13822493,1143393468,"Deluxe Room, Balcony, Partial Ocean View",deluxe room balcony partial ocean view,201115159,"Deluxe Twin Room, Balcony, Ocean View",deluxe twin room balcony ocean view,0.96
13693528,1141859472,"Standard Room, 1 Queen Bed, Shared Bathroom (Room 4)",standard room 1 queen bed shared bathroom room 4,200990817,"Standard Room, 1 Queen Bed, Shared Bathroom",standard room 1 queen bed shared bathroom,0.97
13941529,1143574372,"Basic Double Room, Garden Area",basic double room garden area,201147669,"Double Room, Garden Area",double room garden area,0.96
316929,31692910,Bungalow Double or Twin with Garden View,bungalow double twin garden view,201430950,"Double Bungalow, Garden View",double bungalow garden view,0.96
13945390,1143627895,"Deluxe Double or Twin Room, Multiple Beds, Non Smoking",deluxe double twin room multiple bed non smoking,201210867,"Deluxe Double or Twin Room, 1 Double Bed, Non Smoking",deluxe double twin room 1 double bed non smoking,0.96
7843650,784365001,Bed in 10-Bed Mixed Dormitory Room,bed 10bed mixed dormitory room,218401527,Bed in 8-Bed Mixed Dormitory Room,bed 8bed mixed dormitory room,0.87
13458278,1141904435,Deluxe Twin No Window,deluxe twin no window,200991647,Deluxe Twin with Window,deluxe twin window,0.86
13831852,1143430369,Basic Single Room 2 Queen Beds,basic single room 2 queen bed,200938418,"Basic Room, 2 Queen Beds",basic room 2 queen bed,0.96
