reference_hotel_id,reference_room_id,reference_room_name,reference_processed_name,supplier_room_id,supplier_room_name,supplier_processed_name,text_similarity
4333727,433372703,Single Room with Shared Shower and Toilet,single room shared shower toilet,200799329,Double or Twin Room with Shared Toilet and Private Shower,double twin room shared toilet private shower,0.87
489362,48936218,King Room with Communications and Mobility Accessible Roll-In Shower,king room communications mobility accessible rollin shower,321305931,"Room (Mobility Accessible, Roll-In Shower)",room mobility accessible rollin shower,0.87
13825361,1143402721,"Standard Studio, Non Smoking",standard studio non smoking,201130318,"Studio, Accessible, Non Smoking",studio accessible non smoking,0.87
1792950,179295010,Two -Bedroom Premium Apartment - 6 Persons,two bedroom premium apartment 6 persons,200918813,"Premium Apartment, 2 Bedrooms",premium apartment 2 bedroom,0.86
13836781,1143450645,"2 Bedroom Suite, Kitchen with Living room",2 bedroom suite kitchen living room,201255610,"Deluxe Apartment, 2 Bedrooms, Sea View (living room and kitchen for 6 adults)",deluxe apartment 2 bedroom sea view living room kitchen 6 adult,0.87
2314673,231467310,One-Bedroom Suite,onebedroom suite,200056024,One-Bedroom Suite King,onebedroom suite king,0.86
13947418,1143644488,Deluxe Suite (3-bedroom),deluxe suite 3bedroom,201147453,Deluxe Suite Room,deluxe suite room,0.85
1565054,156505401,Deluxe King Studio,deluxe king studio,202176859,Deluxe Studio,deluxe studio,0.87
13920035,1143592568,"Classic Room, Terrace",classic room terrace,213616884,"Deluxe Room, Terrace",deluxe room terrace,0.86
64150,6415011,Large Single Room,large single room,200909856,Single Room,single room,0.87
10398725,1039872501,Two-Bedroom Villa,twobedroom villa,200929679,C14 Two-Bedroom Pool Villa,c14 twobedroom pool villa,0.87
13615079,1142597775,"Apartment, 1 Bedroom (Split Level)",apartment 1 bedroom split level,201273055,Split level apartment,split level apartment,0.87
13559839,1142538241,Superior Double Room (2 + 1 Exterior),superior double room 2 1 exterior,201168838,Superior Double Room,superior double room,0.86
13893119,1143524965,"Apartment, 2 Bedrooms (Zandstuyver 102)",apartment 2 bedroom zandstuyver 102,220813028,"Apartment, 2 Bedrooms (351/2454)",apartment 2 bedroom 3512454,0.85
1750148,175014801,Studio with Terrace and Sea View,studio terrace sea view,202035550,"Studio, Balcony, Sea View",studio balcony sea view,0.87
13691308,1142934388,"Economy Hollywood Twin Room, Non Smoking",economy hollywood twin room non smoking,217507247,"Economy Twin Room, Non Smoking",economy twin room non smoking,0.86
13555766,1141973749,Economy Single Room with balcony,economy single room balcony,201899033,"Premium Single Room, Balcony",premium single room balcony,0.87
13946587,1143636001,"Standard Double Room, Non Smoking, Garden View",standard double room non smoking garden view,200304167,"Standard Double Room, Garden View",standard double room garden view,0.86
9413610,941361001,Tent,tent,201698940,Sunshine Tent,sunshine tent,0.86
13691308,1142934381,"Hollywood Twin Room, Non Smoking",hollywood twin room non smoking,201041405,"Twin Room, Non Smoking",twin room non smoking,0.85
13473003,1142186028,"Deluxe Double Room, 1 King Bed with Sofa bed (La Torre)",deluxe double room 1 king bed sofa bed la torre,230131211,"Deluxe Room, 1 King Bed with Sofa bed",deluxe room 1 king bed sofa bed,0.87
13903429,1143540210,"Room, 3 Bedrooms, Kitchen, Ocean View",room 3 bedroom kitchen ocean view,201745908,"Suite, 1 Bedroom, Kitchen, Sea View",suite 1 bedroom kitchen sea view,0.87
13854235,1143457616,"Villa, 3 Bedrooms, Private Pool (Free Car Rental , 8 People)",villa 3 bedroom private pool free car rental 8 person,200998233,Villa - 3 Bedrooms with Private Pool,villa 3 bedroom private pool,0.86
410532,41053204,Single Room with Shower,single room shower,201471290,Deluxe Double Room Single Use (with shower),deluxe double room single use shower,0.87
